"created_at","url","truncated_full_text","user_id_str"
"Tue Nov 30 23:37:53 +0000 2021","https://twitter.com/Jerryhe84623564/status/1465827454895935494",,"1427026953228492802"
"Tue Nov 30 23:37:41 +0000 2021","https://twitter.com/Iran_7597/status/1465827403276722178",,"1258871905907507201"
"Tue Nov 30 23:37:37 +0000 2021","https://twitter.com/gabportu/status/1465827388856717312",,"1057710411607408640"
"Tue Nov 30 23:37:35 +0000 2021","https://twitter.com/hahussain/status/1465827377552969729",,"39344961"
"Tue Nov 30 23:37:32 +0000 2021","https://twitter.com/TimesofIsrael/status/1465827367264219136",,"432557320"
"Tue Nov 30 23:37:19 +0000 2021","https://twitter.com/FPouladi/status/1465827309978587139",,"439819027"
"Tue Nov 30 23:37:18 +0000 2021","https://twitter.com/richards1052/status/1465827307562496000",,"51685865"
"Tue Nov 30 23:37:11 +0000 2021","https://twitter.com/EMSC/status/1465827276998729728",,"2449645080"
"Tue Nov 30 23:37:09 +0000 2021","https://twitter.com/bonnie_sakura4/status/1465827269755211783",,"1418682977769431040"
"Tue Nov 30 23:36:54 +0000 2021","https://twitter.com/gene_grindle/status/1465827207528521733",,"1301467579266084864"
"Tue Nov 30 23:36:52 +0000 2021","https://twitter.com/DailyReports24/status/1465827196333744133",,"1370655073978642433"
"Tue Nov 30 23:36:50 +0000 2021","https://twitter.com/Ing_Sebas_Marti/status/1465827191720230913",,"1315687146699849735"
"Tue Nov 30 23:36:41 +0000 2021","https://twitter.com/Starlite28639/status/1465827150834012170",,"937503000192360448"
"Tue Nov 30 23:36:36 +0000 2021","https://twitter.com/mafferrvillegas/status/1465827131162644481",,"239561295"
"Tue Nov 30 23:36:29 +0000 2021","https://twitter.com/manifesto2000/status/1465827100695228418",,"109064246"
"Tue Nov 30 23:35:42 +0000 2021","https://twitter.com/LOMBARD60385087/status/1465826903911186435",,"1414689101584994313"
"Tue Nov 30 23:35:25 +0000 2021","https://twitter.com/DanielShoerRoth/status/1465826835325980679",,"60658975"
"Tue Nov 30 23:35:24 +0000 2021","https://twitter.com/smostars/status/1465826831194484740",,"29201951"
"Tue Nov 30 23:35:15 +0000 2021","https://twitter.com/Ing_Sebas_Marti/status/1465826791243792389",,"1315687146699849735"
