created_at,ulr,full_text,user_id_str,user/location
Fri Sep 28 23:19:33 +0000 2018,,@amandacarpenter Red Notice by @Billbrowder completely changed the way I view the Russian government.,3904749380,U.S.A
Mon Sep 24 15:51:50 +0000 2018,,Donald Trump Jr. reportedly knew he was getting dirt on Clinton from 'Russian government' https://t.co/tUD3OzIPps,24733117,MA
Fri Sep 28 21:38:50 +0000 2018,,"In other news #FusionGPS refusing to speak with @RepGoodlatte and @TGowdySC and they take it one step further. According to Simpson the Government of #Australia triggered the entire Russian investigation, oh dear @ScottMorrisonMP @pmc_gov_au @SkyNewsAust @realDonaldTrump https://t.co/8w9eNnw3w1",741977462028926976,us
Thu Sep 27 14:23:10 +0000 2018,,The idea that the Russian government would mess around with chemical weapons in Britain World Cup or not is as washed up an idea as the story alleging it. Russia isn’t going to take a risk for no gain whatsoever…,223817821,U.S.A
Fri Sep 28 15:51:55 +0000 2018,,"The coup of our government is near complete. The power of Koch money finances The Federalist Society and selects Supreme Court nominees.
The Republican Party was bought by The Kochs and Russian Oligarchs.
Representing a distinct minority, it now controls all three branches.",3037232182,"Florida, FL"
Mon Sep 24 18:48:41 +0000 2018,,Donald Trump Jr. reportedly knew he was getting dirt on Clinton from 'Russian government' - https://t.co/SRiaDwS81n #TrumpTower #DonJr #TrumpRussia  https://t.co/tVbwHeoRGF,809892522805829632,us
Fri Sep 28 20:56:00 +0000 2018,,"Reminder: this debunked conspiracy theory pushed by Russian government was also being pushed by @newtgingrich and @seanhannity 

#likewar book lesson:
If we want to win at #likewar 
we have to make sure its history isn't forgotten. https://t.co/nNkLP7XNSA",539104576,U.S.A
Wed Sep 26 10:56:34 +0000 2018,,"@tmlktobin1 @jazzysenior1 @georgelates @HillaryClinton @AskMrMickey You're probably a Russian Bott.  Let's take our country back.  I have nothing against Russian people, I want America to remain free of Russian government intervention and manipulation.  Vote the Russians out of office.  Vote for peace and love ❤️ not hate. Vote Democratic",269069008,"South Dakota, SD"
Thu Sep 27 08:49:42 +0000 2018,,Corrected headline (that would be given if we were speaking of a Russian website) ‘Government  funded ‘investigative website’ claims to know the real identity of Salisbury suspect’,901578824,us
Tue Sep 25 04:45:24 +0000 2018,,Donald Trump Jr. reportedly knew he was getting dirt on Clinton from ‘Russian government’ https://t.co/sOhXIM0E2E https://t.co/h56OYhs9kr,55355654,"Raleigh, North Carolina"
Tue Sep 25 11:07:32 +0000 2018,,"@jimsciutto @bob_levitt Not just Russians, but the Russian GOVERNMENT.",17481417,"South Dakota, SD"
Wed Sep 26 13:20:09 +0000 2018,,"The German government (tax payer) paid thousands of € to a Russian lady to explore the German parliament, live in Berlin &amp; “consolidate democratic values &amp; tolerance”.
THE WEEK AFTER she started her career at Russia Today, timely for 🇩🇪’s 2017 election &amp; now works for Sputnik. https://t.co/wfmYl2P0JC",428140124,"Illinois, IL"
