url,created_at,user_id_str,full_text,user/location
https://twitter.com/FochVal/status/1245137419130810373,Tue Mar 31 23:54:28 +0000 2020,1002368589813334016,"@Taylor26Susan @RitaPanahi ""The origins of this influenza variant is not precisely known. It is thought to have originated in China in a rare genetic shift of the influenza virus.""
Source:
https://t.co/K8UzOyFlQu","New York, NY"
https://twitter.com/nthusharon/status/1245137974213275648,Tue Mar 31 23:56:41 +0000 2020,1081512036104720384,China seems confident that the world finds their medical supplies of decent quality 😂,"San Antonio, Texas"
https://twitter.com/ChinaBeigeBook/status/1245138746443513856,Tue Mar 31 23:59:45 +0000 2020,497231011,"""#China's official #Covid19 stats cant be believed,"" says CBB's Scissors. “There’s no mass testing, which means the #s should not be compared to the US, where we're now doing mass testing,” the chief economist at @ChinaBeigeBook tells @CNBC""

@kevin_stank

https://t.co/etLmNLsYYE",U.S.A
https://twitter.com/RandalQwade/status/1245136343786639360,Tue Mar 31 23:50:12 +0000 2020,1049226130820157440,"@AFP CHINA GOOD, VIRUS BAD.","North Carolina, NC"
https://twitter.com/Crof/status/1245137293393801216,Tue Mar 31 23:53:58 +0000 2020,19042993,#COVID19 and the rebounding Chinese economy: Socialism comes to communist China! https://t.co/Ba5IedUsy9,GA
https://twitter.com/UnicornAtLarge/status/1245137058470850561,Tue Mar 31 23:53:02 +0000 2020,1182277957303189510,"@denisebatters @SenatorHousakos @SenatorNgo The suppression of human rights and freedom of speech have led to this unprecedented outbreak that kills thousands. While we should handle the outbreak now, we should also look forward to nip the bud of the next outbreak in China.

Pls support Magnitsky Act against China and HK.",WY US
https://twitter.com/Ron_GER_/status/1245138310932160512,Tue Mar 31 23:58:01 +0000 2020,4735707453,"@NolteNC True Problem:
Pandemics are (at their core) not a medical issue.

It's about risk management. Understanding of topics entirely unrelated to medicine (e.g. int communications) is essential.

The central piece of info was, that China closed down mayor cities.

WHO &amp; MDs missed it.",Mississippi
https://twitter.com/mjjohnson1216/status/1245137307356868609,Tue Mar 31 23:54:02 +0000 2020,527026882,"@larrydake @mrscarrickscie1 @sgthomas1973 @DennisDill Yes .... we can't be sure of how long and a teacher in China, who is in week 7 of cyber school shared, ""....  don't get your hopes set on a return date. It's emotionally detrimental. Just plan on it lasting longer than you think."" #EdChat https://t.co/nd8kBNI96b",U.S.A
https://twitter.com/Midian_1616/status/1245137328408010753,Tue Mar 31 23:54:07 +0000 2020,1227792568798322688,@American4Love @maddow @cfbronco @jburnmurdoch Pro tip: China data under reported by factor of 3-5X.,Delaware
https://twitter.com/MinorityNews11/status/1245137170613952512,Tue Mar 31 23:53:29 +0000 2020,3882879133,@ChitownJewrean1 @JackPosobiec @joeysmichael It came from China...November Oscar break Sam Harry India Tango,"Arizona, AZ"
https://twitter.com/scott52w/status/1245136599370719233,Tue Mar 31 23:51:13 +0000 2020,476919646,"@TomatoWhiskers @dianatilb @maddow The travel ban was one way, if you were American you could travel freely to China and back 🤷🏻‍♂️",North Dakota
https://twitter.com/RichardGowan1/status/1245136190812106753,Tue Mar 31 23:49:36 +0000 2020,364534938,"There's a lot of talk about #China's rise in the #UnitedNations system (just ask @CourtneyFung &amp; @oertel_janka). Every time I'm asked about this, I wonder why US and European diplomats don't underline one basic point: China is still a minor player in #humanitarian affairs [1/5]",U.S.A
https://twitter.com/Motoconomist/status/1245136148747386886,Tue Mar 31 23:49:26 +0000 2020,76664702,"Two things are true.  The Chinese gov't covered up quite a bit of their own mistakes and now blames US for Covid. However, the US gov't did not respond in time to obvious warning signs from China.  Instead we dithered.","Massachusetts, MA"
https://twitter.com/uh_nurse/status/1245138184163508224,Tue Mar 31 23:57:31 +0000 2020,2379573252,"@picardonhealth @globeandmail On a Webex this morning with experts from Wuhan, Bergamo Italy &amp; France, it was consensus that everyone should wear a mask when out &amp; about in the community. Homemade masks ok and better than nothing. Physical distance important. Has been policy in China since the crisis began.",U.S.A
https://twitter.com/veggyVERSE/status/1245138072863457282,Tue Mar 31 23:57:04 +0000 2020,420282906,"@MRobertsQLD Pay? Isn't the world in debt to China anyways? I'm talking triliions of dollars.
But honestly if we keep killing this planet  money won't help anyone.",UT US
https://twitter.com/MaryMister13/status/1245136708422770688,Tue Mar 31 23:51:39 +0000 2020,1220039003728203776,@Satchmo72652222 @JoeBiden Or China. Hunter got a 1.5 billion sweet deal from China when daddy was VP,U.S.A
https://twitter.com/berggruenInst/status/1245138064394973185,Tue Mar 31 23:57:02 +0000 2020,1446376116,"Like all  of us, Berggruen’s LA team has been feeling the difficulties of the #COVID19 quarantine. Fortunately, we can lean on our China Center Team for advice as they have now become experts at #socialdistancing. Here are some of their #quarantinetips: https://t.co/oAFus3d3Gx","Tulsa, Oklahoma"
https://twitter.com/NetworkDemonic/status/1245138702176677888,Tue Mar 31 23:59:34 +0000 2020,1141452626443161600,"Cool offerings to listen to while we are locked at home:

Cabrillo Contemporary Music Festival Archives:
https://t.co/Jeuwsp6uOM 

Met Opera:
https://t.co/eGAYqw33z4

(Tomorrow is ""Nixon In China"", really good, not your stodgy old opera.)",MD
https://twitter.com/ourvalues2017/status/1245137093644386305,Tue Mar 31 23:53:11 +0000 2020,827011184469512192,"@jamusp @justbecompetent @AcmeAviation @racheljulie @danahull @NYGovCuomo BS, this Administration sent 17 tons of PPE to China in February and didn't restock it knowing full well what was coming 

https://t.co/Q1EEu3cGxm",NY US
https://twitter.com/iamratkiller/status/1245136931685449728,Tue Mar 31 23:52:32 +0000 2020,614097561,@cdixon25 @elonmusk @Tesla Not prepared. He just had his communist buddies in China to do him a favor and move him to front of the line ahead of others waiting to purchase or give them to him for a PR stunt. Not wild at all. NY needs more but most are going close to Elon's home.,"Jacksonville, Florida"
https://twitter.com/manilabulletin/status/1245137169473134592,Tue Mar 31 23:53:29 +0000 2020,15375209,Global virus deaths mount as US surpasses China’s official toll https://t.co/IIJySJBrW8,AL
https://twitter.com/douglaskarr/status/1245136187154669570,Tue Mar 31 23:49:35 +0000 2020,13410,"Stop saying we have more deaths, useful idiots. China did not count coronavirus positives if patient had no symptoms. #coronavirus  https://t.co/3cXJs1FLfb",LA US
https://twitter.com/SeattleSunshin1/status/1245138728332324866,Tue Mar 31 23:59:41 +0000 2020,998327891870937089,@TeaPainUSA we were apparently the 47th country to limit travel from China.,United States
https://twitter.com/CNET/status/1245137142457786372,Tue Mar 31 23:53:22 +0000 2020,30261067,"US coronavirus deaths outnumber China's reported fatalities
https://t.co/ZnLWy274Qo",South Carolina
https://twitter.com/TomthunkitsMind/status/1245136852702703616,Tue Mar 31 23:52:13 +0000 2020,289118612,"Health officials are preparing for the possibility of a pandemic as coronavirus cases in China top 17,500.

The U.S. is planning more flights to evacuate American citizens out of Wuhan, China, this week. https://t.co/X9gat1TSf5
#FBR",MA US
https://twitter.com/squid89_93/status/1245138415252725760,Tue Mar 31 23:58:26 +0000 2020,2481506844,"@AcmeAviation @racheljulie @danahull @NYGovCuomo Because they're in charge of FEDERAL surplus. The federal gov't keeps urgent supplies but trump sent them to China in January (which was the right thing to do) w/o keeping any for ourselves. None of the hospitals knew to stock up, so the federal surplus is all the hospitals have.",United States
https://twitter.com/economics/status/1245137785062916096,Tue Mar 31 23:55:56 +0000 2020,144274618,"China’s consumers are shopping again, but their online purchases are signaling that they plan to stay indoors for the foreseeable future https://t.co/ZmhniEXDKG","New York, New York"
https://twitter.com/TwinsinMaple/status/1245136256364883970,Tue Mar 31 23:49:51 +0000 2020,87503869,@holdavision 💯 He is intentionally screwing with testing so people don’t know real numbers. He intentionally got rid of supplies (to China &amp; elsewhere). He is out-bidding states but not giving them the supplies. He is intentionally making this worse every way he can.,NM US
https://twitter.com/ShortingIsFun/status/1245137152427601922,Tue Mar 31 23:53:25 +0000 2020,21826347,"@montana_skeptic @TESLAcharts @TeeKay_EV @trader51 Hey @ResMedMick, when did #Tesla buy these from you? Did they ship them in from China? Did @ElonMusk call you up directly?",U.S.A
https://twitter.com/SanctoKlinge/status/1245136285704114176,Tue Mar 31 23:49:58 +0000 2020,2828830910,"trump, his administration, the media and any single government official who downplayed this pandemic for months, while selling off stocks and blaming China, are completely culpable for everything that happens. the deaths, the loss of jobs, the destruction of livelihoods.","Wyoming, WY"
https://twitter.com/ftchina/status/1245137433588649987,Tue Mar 31 23:54:32 +0000 2020,15861355,China defies coronavirus to top global IPO table in first quarter https://t.co/6bagPRUG9I,"Dallas, Texas"
https://twitter.com/teslamodel3fan/status/1245137888716693510,Tue Mar 31 23:56:20 +0000 2020,3532426698,"@TonyTesla4Life @Inelonwetrust__ @TeslaChillMode My husband liked the steam ones but had issues not getting cheap China knock offs last year. He bought something off kickstarter this year, trying it soon https://t.co/4208cBFOah","Delaware, DE"
https://twitter.com/allaboutchemist/status/1245136715943198721,Tue Mar 31 23:51:41 +0000 2020,819622619737706497,@RBPundit @katearthsis We don't hire a president just to believe what China says on TV. Don't we have intelligence services? Doesn't the president read their briefings daily?,U.S.A
