url,full_text,created_at,user_id_str,user/location
https://twitter.com/FrankPallone/status/1377404481189552130,".@SecBlinken has officially recognized China's treatment of Uyghur Muslims as a genocide.

The U.S. will not stand idly by as China violates international law and commits gross human rights abuses. 

We must work with our allies to hold China accountable and end these abuses.",Wed Mar 31 23:36:33 +0000 2021,31801993,MS
https://twitter.com/FluorescentGrey/status/1377403508056416263,"huh I wonder if Israel or their lobbyists have *anything* *at all* to do with the rise of anti-China propaganda we've been blasted with in the last 12 months
https://t.co/OK9BiZMeJg",Wed Mar 31 23:32:41 +0000 2021,2433056592,"Pennsylvania, PA"
https://twitter.com/dgvreiman/status/1377405861732085762,Anyone questioning whether the fraud election was for the benefit of a Manchurian Candidate should note first thing Biden did after taking office is destroy US Economy -all to the benefit of Red China.,Wed Mar 31 23:42:03 +0000 2021,796784197507518464,"Milwaukee, Wisconsin"
https://twitter.com/ATParasiliti/status/1377410373607858177,"Latest  #takeaway with @ElizHagedorn @joesnell03 on #China #MiddleEast, more! Riffing on great reports/analysis by @BenCaspit @HagarHosny  @AfshinMolavi @Metin4020 @IbnRasibi @sabena_siddiqi @JM_Szuba @mustfsnmz @rebeccaaproctor @SamRamani2 @AlMonitor   https://t.co/8BkFJroxNR",Wed Mar 31 23:59:58 +0000 2021,2906869757,"Wichita, Kansas"
https://twitter.com/GoldmanSachs/status/1377402905121071106,Christine Cho discusses what’s driving $GS Research’s expectations for 22% growth in the China beauty sector in 2021 in this episode of The Daily Check-In: https://t.co/rIZgHRJ4ME https://t.co/EJltHbf0Xi,Wed Mar 31 23:30:18 +0000 2021,253167239,"Columbus, Ohio"
https://twitter.com/BeijingPalmer/status/1377407048418271234,"But as he gets to the end, he realizes he's left himself open. China can't be portrayed as a weak lamb that will be eaten up. China is strong, powerful! So he adds the 'BTW.'",Wed Mar 31 23:46:45 +0000 2021,1254412448,"Houston, Texas"
https://twitter.com/booskutball/status/1377409459966734339,Can Kelly Olynyk just leave the league to play in China already please,Wed Mar 31 23:56:20 +0000 2021,1188854350753472513,"Charlotte, North Carolina"
https://twitter.com/thumpasaurus1/status/1377405533238525952,"American political discourse for over 10 years has had every side screaming about how WE CANNOT ALLOW CHINA TO OVERTAKE US!

ok America, where’s the goddamn trains? https://t.co/K6b7753m7o",Wed Mar 31 23:40:44 +0000 2021,1177551800,United States
https://twitter.com/Carnage4Life/status/1377407685218344960,"One of the interesting things about big tech is how different the cultures are. 

At Google, operating in China or building tech for the U.S. military resulted in significant employee protests. At Microsoft (or Apple), these are just another Tuesday.  
https://t.co/350j6nVoQ8",Wed Mar 31 23:49:17 +0000 2021,11336782,us
https://twitter.com/WholeMarsBlog/status/1377408721509175298,"one thing I really liked it when they said China is ahead of US on EVs and we need to change that as a national security priority 

I completely agree. The United States can and should lead the world on this. 

Not lose the global auto industry to foreign upstarts. @elonmusk",Wed Mar 31 23:53:24 +0000 2021,1263491240336769026,United States
https://twitter.com/semper_vincit/status/1377409845964328962,"It never was.
But now , Iran is an ally of China and Russia .

There are less painful ways to commit suicide than to attack Iran.",Wed Mar 31 23:57:52 +0000 2021,1083863546864103424,Vermont
https://twitter.com/yuenyuenang/status/1377405814118383616,"Moving tribute to Ezra Vogel and key questions for China 🇨🇳 - 

While we mourn the loss of Ezra, we should ask ourselves the following questions: Why are there so few friends like Ezra? How do we avoid turning away potential friends like Ezra?

https://t.co/LIBGDZ3Eoa",Wed Mar 31 23:41:51 +0000 2021,844625427356422146,"Connecticut, CT"
https://twitter.com/FawadFiaz/status/1377407236847325190,"CPEC trade rout exist for centuries. Only AAZ had a vision to offer this huge business opportunity to China open door for constant income 4 Pakistan.
Few people on pay role destroyed/delayed at country cost! How long continue to be tolerated with different media diversion tactics",Wed Mar 31 23:47:30 +0000 2021,385290156,Idaho
https://twitter.com/Deus_Abscondis/status/1377410009189904384,"A great insight piece by AJIT SINGH @ajitxsingh 
“Wipe out China!” US-funded Uyghur activists train as gun-toting foot soldiers for empire https://t.co/Q0bvuvWbvD",Wed Mar 31 23:58:31 +0000 2021,1958976074,U.S.A
https://twitter.com/BeijingPalmer/status/1377407293885714438,"In his head, the meaning is something like this - ""The West, a wolf, thinks that China is a helpless lamb that can be slandered and eaten up. But China is actually strong, not a lamb at all, and the West is direly mistaken. We'll show them!'",Wed Mar 31 23:47:44 +0000 2021,1254412448,"Albuquerque, New Mexico"
https://twitter.com/SayNoToSino/status/1377404694486638594,"China vs. Philippines | Dangerous Dispute in South China Sea https://t.co/Woap5wRdoZ via @YouTube 

USA  MUST  HELP  PHILIPPINES  STAND  UP  TO
CHINA  AT  WHITSUN  REEF  IN  SOUTH  CHINA  SEA",Wed Mar 31 23:37:24 +0000 2021,1257878321901137920,us
https://twitter.com/DanRDimicco/status/1377408955694075904,"1-#CPA Applauds Legislation to Prohibit Federal Funds from Purchasing Chinese Solar Products – The Coalition For A Prosperous America(CPA) today applauded the Keep China Out of Solar Energy Act introduced by Senators Rick Scott (R-FL), Marco Rubio(R-FL)... https://t.co/w1WGmhHil7",Wed Mar 31 23:54:20 +0000 2021,2391609504,"Columbus, Ohio"
https://twitter.com/BeijingPalmer/status/1377406805551108097,"So, he leaps in with the fable of the wolf and the lamb. How this is *supposed* to work is this: the West is determined to accuse innocent China, and so, like the wolf in the fable, will look for any excuse to do so. Hypocritical West! Poor China!",Wed Mar 31 23:45:48 +0000 2021,1254412448,"Hawaii, HI"
https://twitter.com/NewMindMirror/status/1377410327248171010,"China before Buddhism: a class lecture on the early Chinese dynasties and native philosophical schools, such as Confucianism and Daoism, by Prof. @BryanVanNorden (52mins) - YouTube: https://t.co/sAj26A7n1M #Confucianism #Taoism #China  https://t.co/pu4boSETR5",Wed Mar 31 23:59:47 +0000 2021,74529629,NJ
https://twitter.com/lowsalarygirl/status/1377409659502399491,"@SecBlinken We know they won’t reverse course, so it’s time to sanction China. https://t.co/3HhwhA7Ee8",Wed Mar 31 23:57:08 +0000 2021,3525524773,"Indiana, IN"
https://twitter.com/Carnage4Life/status/1377407686245945344,I've argued in the past that Google's big mistake in employee relations was making claims about their moral high ground that they couldn't keep. No one at Apple is confused about doing what it takes to continue operating in China or Microsoft about selling tech to the Pentagon.,Wed Mar 31 23:49:18 +0000 2021,11336782,"Ohio, OH"
https://twitter.com/McKBenLove0T/status/1377409276596002817,@AFP China basically blocks or rejects every move by the UN that addresses human rights issue across the world. Why they’re there?,Wed Mar 31 23:55:37 +0000 2021,156555803,WV US
https://twitter.com/VivianBala/status/1377409580615884800,"State Councilor &amp; FM Wang Yi and I welcomed the 30th anniversary of #ASEAN-China Dialogue Relations this year, and exchanged views on how to strengthen ASEAN-China ties. 

Also delighted to meet Fujian Party Sec Yin Li, a fellow medical doctor by training.",Wed Mar 31 23:56:49 +0000 2021,46570604,AK
https://twitter.com/yautsimmongkml/status/1377409916860723203,@FinancialTimes HK is just the same as China now and doesn’t deserve the original special status at all. China can’t ruin HK while preserving its role cash cow at the same time. https://t.co/kGspQ3Edbr,Wed Mar 31 23:58:09 +0000 2021,1278171815412711424,"District of Columbia, DC"
https://twitter.com/omgitsoreva/status/1377409617194414087,@birdwatcherzzz @bigbybrimble @Mj_The3rdPick @GarbuttTrinity @mskikidee @tinnkky @wetdishsoap This!!!! Till today China is still sucking Africa and I’m Nigerian so I’m speaking from experience!!!! But we’ve just accepted it because we can’t really fight back and they own several businesses in the country.,Wed Mar 31 23:56:58 +0000 2021,1084464180831416325,"Fresno, California"
https://twitter.com/Newsweek/status/1377405257416912899,"China forcing people to take vaccines against their wishes, reports suggest https://t.co/btWXKoThvL",Wed Mar 31 23:39:38 +0000 2021,2884771,"Los Angeles, California"
https://twitter.com/StubbornFacts/status/1377404166079938568,"I wonder if there will be a ban on Microsoft in China due to its work with the US army. Would only be fair, after all, since Microsoft has much stronger US military links than Huawei does with China’s PLA, and their software has been used for US government agency spying.",Wed Mar 31 23:35:18 +0000 2021,305501494,CO
https://twitter.com/andymok/status/1377409306526511104,"China showing discipline, resolve and consistency in dealing with the US and its vassals or what US calls “allies.”How much pain they suffer depends entirely on their ability to accept a more fair and more equitable world order",Wed Mar 31 23:55:44 +0000 2021,12758072,"Georgia, GA"
https://twitter.com/ReutersBiz/status/1377407863144947716,China’s Huawei net profit climbed just over 3% despite a decline in overseas revenues as a result of the global health crisis and ongoing U.S. sanctions. More here: https://t.co/CfpSWw7Dd3 https://t.co/IHKwpKcBdK,Wed Mar 31 23:50:00 +0000 2021,15110357,SD
https://twitter.com/McKBenLove0T/status/1377405906506240000,"@NewsHour It should be fully executed, and urge our allies to follow.

It’s China who killed the #OneCountryTwoSystems arrangement. China should be happy that the world is recognising its move.

China has been benefited from this for years. Time to stop that.

#StandwithHongKong",Wed Mar 31 23:42:13 +0000 2021,156555803,"Maryland, MD"
