"full_text","url","user_id_str","created_at"
"@robertjfclarke What does that have to do with the price of chicken in China? #V1Phunks @NotV1Phunks https://t.co/0uJ720R7JT","https://twitter.com/KingHasbulla1/status/1630715929389850625","1428695506847297543","Tue Feb 28 23:45:49 +0000 2023"
"Anyone who supports Trump has to go? Really now.

Florida?

Well ain’t that something?

Notice: All and any who support Pedo shower China Joe, stay 750 yards away from me.

FU.","https://twitter.com/FishermanWords/status/1630719081442574339","1349245462306562050","Tue Feb 28 23:58:20 +0000 2023"
"“Hello, guys I'm Jon. glad to meet you. ”“Glad to meet you too, II'm Jesse.”“Where you from, Japan? ”“Ha ha, I'm from East Turkestan, ”“where is that? a country? ”“Yes, a country. it is occupied by China. Now!”“My God, Xi is a killer. ”“Ha ha, you are right!”，今天打球，Tee time… https://t.co/wS4mxR0TCw","https://twitter.com/jesseliujx/status/1630717753446285312","868077247118286849","Tue Feb 28 23:53:04 +0000 2023"
"If Putin of Russia isn’t stopped there will be a new Cold War, with Moscow, Tehran, China, Turkey and Islamic fundamentalists and nuclear 
countries blackmailing the West.

Those who complain that arming Ukraine is too expensive are quite simply “morons.” https://t.co/4FZwWRgRfk","https://twitter.com/DianaCialino/status/1630718865532497921","517946537","Tue Feb 28 23:57:29 +0000 2023"
"@disclosetv Shaping public narrative on China in preparations for impending global conflict?  Timing seems curious.","https://twitter.com/vinsonousley/status/1630719443566223361","1388594283926667265","Tue Feb 28 23:59:47 +0000 2023"
"Revision of the Alycaeidae of #China, #Laos and #Vietnam (#Gastropoda: Cyclophoroidea) II: The genera Alycaeus and Pincerna.
https://t.co/27cSp7TbNF
#Taxonomy https://t.co/TRwNloYw4x","https://twitter.com/Zootaxa/status/1630714981682679808","86683586","Tue Feb 28 23:42:03 +0000 2023"
"@Jim_Jordan Why was trump defending and praising President Xi and China for their Covid ""transparency"" and ""strong, sharp and powerful"" response to Covid?  And why did Gym Jordan praise trump for his leadership in praising Xi and China? https://t.co/3vbe0NY7Ia","https://twitter.com/jals2010/status/1630717357369831425","1300925329675096064","Tue Feb 28 23:51:29 +0000 2023"
"If the U.S. goes to war with China the bio weapon release in Wuhan will be part of the reasoning even though top level U.S. investors &amp; scientists were involved in the creation &amp; orchestration of the premeditated ""pandemic"". 🧵","https://twitter.com/bitcoinsnack/status/1630719450117816323","2520368154","Tue Feb 28 23:59:48 +0000 2023"
"Why would China want to help a Liberal to win? It makes absolutely no sense. The Trudeau Government is working on economic sanctions against China. The Chinese Ambassador has let his anti government feelings known. I have commented in the past he should be PNG'd","https://twitter.com/JeanLucMarches1/status/1630715897072570368","967929933019443200","Tue Feb 28 23:45:41 +0000 2023"
"@truedevonthomps Seems to me this falls under CSIS Act, Section 2b. Trudeau has a duty to invoke the EA because of China. @PierrePoilievre @csiscanada @rcmpgrcpolice @OPP_COMM_WR","https://twitter.com/TomMarazzo/status/1630715823340896258","1468707251481423880","Tue Feb 28 23:45:24 +0000 2023"
"China oppresses its people and literally lies about everything regarding what it did or isn't doing. So ban Tik Tok in the U.S.? You're damned right, particularly because so many gullible, layabout dummies use it.","https://twitter.com/unclebarkycom/status/1630716841285890050","88485347","Tue Feb 28 23:49:26 +0000 2023"
"This #Chinese statement is costliest joke for  humanity costing millions of lives!! @asthana_shashi @timesofindia 
China says it's been 'open and transparent' on Covid origins https://t.co/UIAVGSCxcf via @timesofindia","https://twitter.com/asthana_shashi/status/1630719044478468096","3648463632","Tue Feb 28 23:58:12 +0000 2023"
"@3YearLetterman @Breaking911 No that statement is false. I don’t have to support him or anyone else. I support the constitution I do not support a president or senator or a member of the House of Representatives or the mayor or anyone.
This is not communist China, where they put you in the reeducation camp.","https://twitter.com/IMacrepair/status/1630716455170846722","1519122241614663680","Tue Feb 28 23:47:54 +0000 2023"
"FBI Director Christopher Wray said that the Covid pandemic was probably the result of a laboratory leak in China https://t.co/90UYMCEBpb","https://twitter.com/WSJPolitics/status/1630715344372350983","16311797","Tue Feb 28 23:43:29 +0000 2023"
"US accounts for 78% of industrial nation trade deficits. China accounts for 46 percent of ind nation surpluses 
 https://t.co/8ueCMGEaOV","https://twitter.com/RobAtkinsonITIF/status/1630716182494953473","122743767","Tue Feb 28 23:46:49 +0000 2023"
"Why wouldn't they? China wants to annex Taiwan. They've made it clear. I expect that they would align with any country that has shown to be an aggressor. WWIII isn't that far out of reach. 
 https://t.co/OImBM8z3x8","https://twitter.com/nottherealdavey/status/1630719446091198464","880871190511980545","Tue Feb 28 23:59:47 +0000 2023"
"Just got to the gym and realized the inaugural hearing of the House Select Committee on China is about to start. Wonder if I can get the other patrons to agree we change the channel from ESPN? Wouldn’t want to miss today’s riveting testimony... ;)","https://twitter.com/NeysunM/status/1630717423274844160","891515306899910657","Tue Feb 28 23:51:45 +0000 2023"
"WATCH LIVE: House committee on China holds its first prime-time hearing https://t.co/8YiWIC8Idq","https://twitter.com/dcexaminer/status/1630717013499805697","18956073","Tue Feb 28 23:50:07 +0000 2023"
"Tune in at 6:00 PM CT: The @committeeonccp is holding our first hearing on the threat posed by Communist China. 

We’ll hear from witnesses, explain how decades of appeasement toward China have failed, &amp; chart a path forward to compete.","https://twitter.com/RepAshleyHinson/status/1630718227419463685","1340783304304410625","Tue Feb 28 23:54:57 +0000 2023"
"America is truly losing its robustness: people having to choose between paying their bills or feeding their family, people are polarized politically, our institutions getting hacked and we can’t even tell China not to help Russia cuz we lowkey need them","https://twitter.com/DoRightMars/status/1630717170798739461","1176935827","Tue Feb 28 23:50:45 +0000 2023"
"Let's take a breathtaking drone tour of amazing China and forge ahead on a new journey. https://t.co/46OUROyXQj","https://twitter.com/China_Fact/status/1630718333162250241","866818669619195904","Tue Feb 28 23:55:22 +0000 2023"
"That’s why I’m introducing legislation to hold China accountable. If the Administration won’t, the People’s House must. (2/2)

https://t.co/NMJK1AwXxo","https://twitter.com/RepBrianMast/status/1630717579563081728","814103950404239360","Tue Feb 28 23:52:22 +0000 2023"
"@_whitneywebb @samhusseini You can’t blame China or the CCP without equally ( or even more ) blaming DOD and our complicit govt. like an iPhone , this is an American product , designed in the US but made in China.","https://twitter.com/ironemos/status/1630716043105824769","150561249","Tue Feb 28 23:46:16 +0000 2023"
"@SilentKev82 @GoodVibePolitik Or that it was the US that leaked it in China.","https://twitter.com/ClarissaC2/status/1630716091281575936","336727952","Tue Feb 28 23:46:28 +0000 2023"
"@carterforva ok but that lab in China is literally run by the US isnt it?","https://twitter.com/DualPowerThreat/status/1630716482320736258","1225493019853410304","Tue Feb 28 23:48:01 +0000 2023"
"SHOWMATCH ALERT

Team AfterMath vs Team China

1000$

BO7 wednesday 15:45 gmt

BE THERE!!","https://twitter.com/Hera_Aoe/status/1630716845715013637","1271610582731497474","Tue Feb 28 23:49:27 +0000 2023"
"China’s Xi Jinping vows ‘forceful’ reform of finance and technology sectors https://t.co/ZJF0fRXw9x","https://twitter.com/sunchartist/status/1630718941021499392","45175974","Tue Feb 28 23:57:47 +0000 2023"
"@bennyjohnson Spoiler alert, it came from Ukraine delivered to China via the good ole USA.","https://twitter.com/ChaoticMiss073/status/1630717982077865985","1521527112364085248","Tue Feb 28 23:53:58 +0000 2023"
"GUNTER: Trudeau up to old tricks on China interference file https://t.co/X4rUwtpjFl Via @sunlornegunter","https://twitter.com/TheTorontoSun/status/1630718322361745408","24700876","Tue Feb 28 23:55:19 +0000 2023"
"@johnwmaskell @AZgeopolitics The rest of the world does a lot of business with China no one can afford to sanction China bro. Talk is cheap","https://twitter.com/TendayiManyange/status/1630716951638028294","39843543","Tue Feb 28 23:49:53 +0000 2023"
"Lawmakers fear China is outspending U.S. on research as new science and tech strategy develops

https://t.co/o1UzKyDZLo https://t.co/MuMPp7Zryk","https://twitter.com/WashTimes/status/1630716236475539462","14662354","Tue Feb 28 23:47:02 +0000 2023"
"Or frankly ask anyone else in China whoever dared to exercise their universal human rights to freedom of speech, the press, religion, assembly…","https://twitter.com/HillelNeuer/status/1630716695189901313","22434517","Tue Feb 28 23:48:52 +0000 2023"
"@IndilAirfinde Xiao Zhan did China proud but honestly I think China still does not realised how good he is. He is always promoting China in many ways. I hope people in China realised that he’s such a gem","https://twitter.com/Lsh7187936/status/1630717656604213248","1572839476891910144","Tue Feb 28 23:52:41 +0000 2023"
